"","x"
"52","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200312&lng=pt&nrm=iso&tlng=en"
"53","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200326&lng=pt&nrm=iso&tlng=en"
"54","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200346&lng=pt&nrm=iso&tlng=en"
"55","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200360&lng=pt&nrm=iso&tlng=en"
"56","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000200373&lng=pt&nrm=iso&tlng=en"
"57","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300387&lng=pt&nrm=iso&tlng=en"
"58","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300398&lng=pt&nrm=iso&tlng=en"
"59","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300408&lng=pt&nrm=iso&tlng=en"
"60","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300415&lng=pt&nrm=iso&tlng=en"
"61","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300421&lng=pt&nrm=iso&tlng=en"
"62","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300430&lng=pt&nrm=iso&tlng=en"
"63","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300436&lng=pt&nrm=iso&tlng=en"
"64","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300442&lng=pt&nrm=iso&tlng=en"
"65","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300450&lng=pt&nrm=iso&tlng=en"
"66","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300453&lng=pt&nrm=iso&tlng=en"
"67","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300460&lng=pt&nrm=iso&tlng=en"
"68","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300468&lng=pt&nrm=iso&tlng=en"
"69","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300480&lng=pt&nrm=iso&tlng=en"
"70","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300491&lng=pt&nrm=iso&tlng=en"
"71","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300502&lng=pt&nrm=iso&tlng=en"
"72","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300515&lng=pt&nrm=iso&tlng=en"
"73","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300525&lng=pt&nrm=iso&tlng=en"
"74","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300530&lng=pt&nrm=iso&tlng=en"
"75","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000300540&lng=pt&nrm=iso&tlng=en"
"76","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200181&lng=pt&nrm=iso&tlng=en"
"77","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200189&lng=pt&nrm=iso&tlng=en"
"78","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200198&lng=pt&nrm=iso&tlng=en"
"79","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200206&lng=pt&nrm=iso&tlng=en"
"80","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200215&lng=pt&nrm=iso&tlng=en"
"81","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200235&lng=pt&nrm=iso&tlng=en"
"82","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200243&lng=pt&nrm=iso&tlng=en"
"83","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200253&lng=pt&nrm=iso&tlng=en"
"84","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200263&lng=pt&nrm=iso&tlng=en"
"85","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200273&lng=pt&nrm=iso&tlng=en"
"86","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200288&lng=pt&nrm=iso&tlng=en"
"87","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200308&lng=pt&nrm=iso&tlng=en"
"88","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200318&lng=pt&nrm=iso&tlng=en"
"89","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200327&lng=pt&nrm=iso&tlng=en"
"90","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200341&lng=pt&nrm=iso&tlng=en"
"91","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000200355&lng=pt&nrm=iso&tlng=en"
"92","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300371&lng=pt&nrm=iso&tlng=en"
"93","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300379&lng=pt&nrm=iso&tlng=en"
"94","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300386&lng=pt&nrm=iso&tlng=en"
"95","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300397&lng=pt&nrm=iso&tlng=en"
"96","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300403&lng=pt&nrm=iso&tlng=en"
"97","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300410&lng=pt&nrm=iso&tlng=en"
"98","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300414&lng=pt&nrm=iso&tlng=en"
"99","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300419&lng=pt&nrm=iso&tlng=en"
"100","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300426&lng=pt&nrm=iso&tlng=en"
"101","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300434&lng=pt&nrm=iso&tlng=en"
"102","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300442&lng=pt&nrm=iso&tlng=en"
"103","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300450&lng=pt&nrm=iso&tlng=en"
"104","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300455&lng=pt&nrm=iso&tlng=en"
"105","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300466&lng=pt&nrm=iso&tlng=en"
"106","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300475&lng=pt&nrm=iso&tlng=en"
"107","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300488&lng=pt&nrm=iso&tlng=en"
"108","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300496&lng=pt&nrm=iso&tlng=en"
"109","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300502&lng=pt&nrm=iso&tlng=en"
"110","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000300507&lng=pt&nrm=iso&tlng=en"
"111","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400553&lng=pt&nrm=iso&tlng=en"
"112","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400577&lng=pt&nrm=iso&tlng=en"
"113","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400586&lng=pt&nrm=iso&tlng=en"
"114","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400591&lng=pt&nrm=iso&tlng=en"
"115","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400597&lng=pt&nrm=iso&tlng=en"
"116","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400600&lng=pt&nrm=iso&tlng=en"
"117","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400604&lng=pt&nrm=iso&tlng=en"
"118","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400610&lng=pt&nrm=iso&tlng=en"
"119","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400620&lng=pt&nrm=iso&tlng=en"
"120","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400630&lng=pt&nrm=iso&tlng=en"
"121","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400643&lng=pt&nrm=iso&tlng=en"
"122","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400656&lng=pt&nrm=iso&tlng=en"
"123","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400665&lng=pt&nrm=iso&tlng=en"
"124","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400676&lng=pt&nrm=iso&tlng=en"
"125","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400688&lng=pt&nrm=iso&tlng=en"
"126","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400698&lng=pt&nrm=iso&tlng=en"
"127","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400703&lng=pt&nrm=iso&tlng=en"
"128","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000400717&lng=pt&nrm=iso&tlng=en"
"129","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400515&lng=en&nrm=iso&tlng=en"
"130","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400533&lng=en&nrm=iso&tlng=en"
"131","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400545&lng=en&nrm=iso&tlng=en"
"132","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400555&lng=en&nrm=iso&tlng=en"
"133","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400562&lng=en&nrm=iso&tlng=en"
"134","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400570&lng=en&nrm=iso&tlng=en"
"135","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400578&lng=en&nrm=iso&tlng=en"
"136","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400585&lng=en&nrm=iso&tlng=en"
"137","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400593&lng=en&nrm=iso&tlng=en"
"138","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400605&lng=en&nrm=iso&tlng=en"
"139","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400611&lng=en&nrm=iso&tlng=en"
"140","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400624&lng=en&nrm=iso&tlng=en"
"141","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400638&lng=en&nrm=iso&tlng=en"
"142","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400649&lng=en&nrm=iso&tlng=en"
"143","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400661&lng=en&nrm=iso&tlng=en"
"144","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400671&lng=en&nrm=iso&tlng=en"
"145","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400692&lng=en&nrm=iso&tlng=en"
"146","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400699&lng=en&nrm=iso&tlng=en"
"147","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000400713&lng=en&nrm=iso&tlng=en"
"148","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500727&lng=en&nrm=iso&tlng=en"
"149","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500736&lng=en&nrm=iso&tlng=en"
"150","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500743&lng=en&nrm=iso&tlng=en"
"151","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500751&lng=en&nrm=iso&tlng=en"
"152","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500759&lng=en&nrm=iso&tlng=en"
"153","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500763&lng=en&nrm=iso&tlng=en"
"154","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500768&lng=en&nrm=iso&tlng=en"
"155","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500774&lng=en&nrm=iso&tlng=en"
"156","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500781&lng=en&nrm=iso&tlng=en"
"157","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500790&lng=en&nrm=iso&tlng=en"
"158","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500803&lng=en&nrm=iso&tlng=en"
"159","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500808&lng=en&nrm=iso&tlng=en"
"160","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500813&lng=en&nrm=iso&tlng=en"
"161","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500824&lng=en&nrm=iso&tlng=en"
"162","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500834&lng=en&nrm=iso&tlng=en"
"163","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500844&lng=en&nrm=iso&tlng=en"
"164","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500855&lng=en&nrm=iso&tlng=en"
"165","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500860&lng=en&nrm=iso&tlng=en"
"166","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017000500871&lng=en&nrm=iso&tlng=en"
"167","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500727&lng=en&nrm=iso&tlng=en"
"168","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500735&lng=en&nrm=iso&tlng=en"
"169","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500742&lng=en&nrm=iso&tlng=en"
"170","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500750&lng=en&nrm=iso&tlng=en"
"171","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500758&lng=en&nrm=iso&tlng=en"
"172","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500766&lng=en&nrm=iso&tlng=en"
"173","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500775&lng=en&nrm=iso&tlng=en"
"174","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500781&lng=en&nrm=iso&tlng=en"
"175","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500790&lng=en&nrm=iso&tlng=en"
"176","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572018000500794&lng=en&nrm=iso&tlng=en"
